Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,What is the grade of the child who brought home this survey?,What is the street intersection nearest your home? (Provide the names of two intersecting streets),How far does your child live from school?,"On most days, how does your child get to school?","On most days, how does your child leave school?",How long does it normally take your child to get to school?,How long does it normally take your child to get home from school?,Has your child asked you for your permission to walk or bike from school?,At what grade would you allow your child to walk or bike to/from school without an adult?,Distance as a concern,Convenience of Driving as a concern,Time as a concern, Child's before/after school activities as a concern, Car speeds along route as a concern,Amount of traffic along route as a concern, Adults to walk/bike with as a concern,Sidewalks or pathways as a concern,Safety of intersections and crossings as a concern, Crossing guards as a concern,Violence or crime as a concern,Weather or climate as a concern,Distance as an improvement,Convenience of Drivings as an improvement,Time  as an improvement, Child's before/after school activities as an improvement, Car speeds along route as an improvement,Amount of traffic along route as an improvement, Adults to walk/bike with as an improvement,Sidewalks or pathways as an improvement,Safety of intersections and crossings as an improvement, Crossing guards as an improvement,Violence or crime as an improvement,Weather or climate as an improvement,Do you have any suggestions on how we can make East Los Angeles more pedestrian and bike friendly?
6971696981,175219463,1/2/19 20:58,1/2/19 20:59,147.21.8.1,,,,,,Humphreys and Cesar E Chavez,1/4-1/2 milla,Caminando,Caminando,5 to 10 minutos,5 to 10 minutos,No,No me sentiria comodo/a en ningun grado,,,,,Velocidad del trafico en la ruta,,,,,Guardias de cruce peatonal,,,,,,,,,,,,,,,
6971696873,175219463,1/2/19 20:57,1/2/19 20:57,147.21.8.1,,,,,5,Dangler and 1st Street,Menos de 1/4 de milla,Caminando,Caminando,5 to 10 minutos,5 to 10 minutos,No,5th,,,,,,,,Aceras o caminos,,,Violencia o crimen,,,,,,,,,Aceras o caminos,,,Violencia o crimen,,
6971696775,175219499,1/2/19 20:55,1/2/19 20:57,173.164.210.33,,,,,3,Triss and Scnol,1/4-1/2 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,,No,No me sentiria comodo/a en ningun grado,,,,,,,,,,,,,,,,,,,,,,,,,Guardias de cruze peatonal en union pacific
6971696757,175219463,1/2/19 20:54,1/2/19 20:57,147.21.8.1,,,,,5,Cesar Chavez and Eastern,1/4-1/2 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,5 to 10 minutos,No,10,,,,,,,,,,,,,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,,,,To keep other pedestrians safe.
6971696553,175219499,1/2/19 20:46,1/2/19 20:54,173.164.210.33,,,,,3,Union Pacific and Zonal,1/4-1/2 milla,Caminando,Caminando,11 to 20 minutos,11 to 20 minutos,No,No me sentiria comodo/a en ningun grado,,,,,,Cantidad de trafico en la ruta,,,,,,,,,,,,,,,,,,,Muchos coches en Zonal/Union Pacific poner tope pasan muy rapido
6971696463,175219463,1/2/19 20:53,1/2/19 20:54,147.21.8.1,,,,,5,Hammel St and McDonnell Ave,Menos de 1/4 de milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),Menos de 5 minutos,Menos de 5 minutos,No,No me sentiria comodo/a en ningun grado,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,Ninos acompanados por adultos,Aceras o caminos,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,,Clima,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,Ninos acompanados por adultos,Aceras o caminos,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,,Clima,"Add crossing guards, stop lights near all cross walks near the school. "
6971696328,175219463,1/2/19 20:52,1/2/19 20:52,147.21.8.1,,,,,5,McDonnell and Cesar Chavez,Menos de 1/4 de milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,5 to 10 minutos,No,,,,,,,,,,,,,,,,,,Velocidad del trafico en la ruta,,Ninos acompanados por adultos,,,,,Clima,No
6971696234,175219463,1/2/19 20:49,1/2/19 20:52,147.21.8.1,,,,,5,Bonnie Beach Place and Michigan,1-2 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,5 to 10 minutos,No,8,,,,,Velocidad del trafico en la ruta,,,,Seguridad de las intersecciones y cruces,,Violencia o crimen,,,,,,Velocidad del trafico en la ruta,,,,Seguridad de las intersecciones y cruces,,Violencia o crimen,,Perhaps more law enforcement around the school during dismissal. 
6971695943,175219463,1/2/19 20:48,1/2/19 20:49,147.21.8.1,,,,,5,Mednik and Chavez Ave,1/2-1 milla,Caminando,Caminando,11 to 20 minutos,11 to 20 minutos,No,5th,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,,Violencia o crimen,,,,,,,,,,,,,,
6971695848,175219463,1/2/19 20:46,1/2/19 20:48,147.21.8.1,,,,,5,Fisher and Dangler and Fisher and McDonnell,1/4-1/2 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),Mas de 20 minutos,11 to 20 minutos,No,No me sentiria comodo/a en ningun grado,,,,,Velocidad del trafico en la ruta,,,,,,Violencia o crimen,,,,,,Velocidad del trafico en la ruta,,,,,,Violencia o crimen,,Put cameras all around neighborhood areas. Improve and reinforce the law as well as the condition of the roads and sidewalks.
6971695656,175219463,1/2/19 20:45,1/2/19 20:46,147.21.8.1,,,,,5,,No se,Caminando,Caminando,11 to 20 minutos,11 to 20 minutos,No,No me sentiria comodo/a en ningun grado,Distancia,,Tiempo,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,Ninos acompanados por adultos,Aceras o caminos,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,,,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,Violencia o crimen,,
6971695633,175219499,1/2/19 20:44,1/2/19 20:45,173.164.210.33,,,,,4,,2+ millas,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),Mas de 20 minutos,Mas de 20 minutos,Yes,No me sentiria comodo/a en ningun grado,Distancia,,Tiempo,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,Violencia o crimen,,Distancia,,Tiempo,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,Violencia o crimen,,
6971695556,175219463,1/2/19 20:43,1/2/19 20:45,147.21.8.1,,,,,5,Cesar Chavez Ave and McDonnell,Menos de 1/4 de milla,,Carpool (auto compartido con ninos de otras familias),Menos de 5 minutos,5 to 10 minutos,No,9th,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,,Violencia o crimen,,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,Ninos acompanados por adultos,Aceras o caminos,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,Violencia o crimen,,
6971695521,175219499,1/2/19 20:42,1/2/19 20:44,173.164.210.33,,,,,3,Alma and 1st,1/2-1 milla,Caminando,Caminando,5 to 10 minutos,5 to 10 minutos,Yes,8,,,,,,,,,,,,,,,,,,,,,,,,,Mas lineas para peatones al rededor de toda la escuela
6971695406,175219463,1/2/19 20:42,1/2/19 20:43,147.21.8.1,,,,,5,Eastern and Floral,2+ millas,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,5 to 10 minutos,No,No me sentiria comodo/a en ningun grado,,,,,,,,,,,,,,,,,,,Ninos acompanados por adultos,,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,Violencia o crimen,,Bike paths
6971695300,175219463,1/2/19 20:41,1/2/19 20:42,147.21.8.1,,,,,5,Ford and Cesar Chavez,Menos de 1/4 de milla,Caminando,Caminando,Menos de 5 minutos,Menos de 5 minutos,No,No me sentiria comodo/a en ningun grado,,,,,,Cantidad de trafico en la ruta,,,,,,,,,,,,Cantidad de trafico en la ruta,,,,,,,Making bike lanes.
6971695238,175219499,1/2/19 20:40,1/2/19 20:41,173.164.210.33,,,,,5,1st and Michigan,Menos de 1/4 de milla,Caminando,Caminando,11 to 20 minutos,11 to 20 minutos,Yes,9,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,Ninos acompanados por adultos,Aceras o caminos,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,,,,,,,,,,,,,,,
6971695229,175219463,1/2/19 20:40,1/2/19 20:41,147.21.8.1,,,,,5,Ford St and 1st St,Menos de 1/4 de milla,Caminando,Caminando,5 to 10 minutos,5 to 10 minutos,No,10th,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,Violencia o crimen,,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,Violencia o crimen,,Speed bump on the main street or lights to let drivers that people are crossing the street. 
6971695103,175219499,1/2/19 20:37,1/2/19 20:40,173.164.210.33,,,,,4,1st and Lorena,1/2-1 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,5 to 10 minutos,Yes,6,,,,,Velocidad del trafico en la ruta,,,,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,Violencia o crimen,,,,,,Velocidad del trafico en la ruta,,,,Seguridad de las intersecciones y cruces,,Violencia o crimen,,
6971695096,175219463,1/2/19 20:39,1/2/19 20:40,147.21.8.1,,,,,5,Folsom and Gage,1-2 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,,No,No me sentiria comodo/a en ningun grado,,,,,,,,,,,,,,,,,,,,,,,,,
6971694975,175219463,1/2/19 20:38,1/2/19 20:39,147.21.8.1,,,,,5,Cesar Chavez and Humphreys Ave,1/2-1 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),Menos de 5 minutos,Menos de 5 minutos,No,8th,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,Aceras o caminos,Seguridad de las intersecciones y cruces,,Violencia o crimen,,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,Aceras o caminos,Seguridad de las intersecciones y cruces,,Violencia o crimen,,
6971694867,175219463,1/2/19 20:36,1/2/19 20:38,147.21.8.1,,,,,5,Cesar Chavez and Eastern,1/2-1 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,11 to 20 minutos,No,7th,,,,,Velocidad del trafico en la ruta,,,,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,,,,,,,Velocidad del trafico en la ruta,,,Aceras o caminos,Seguridad de las intersecciones y cruces,,,,More crossing guards. 
6971694755,175219499,1/2/19 20:34,1/2/19 20:36,173.164.210.33,,,,,5 and ETK,1st and Michigan,1/2-1 milla,Caminando,Caminando,11 to 20 minutos,Mas de 20 minutos,No,No me sentiria comodo/a en ningun grado,Distancia,,Tiempo,Actividades antes/despues de la escuela,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,Ninos acompanados por adultos,Aceras o caminos,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,Violencia o crimen,Clima,,,,,,,,,,,,,
6971694697,175219463,1/2/19 20:35,1/2/19 20:36,147.21.8.1,,,,,5,McDonald and Cesar Chavez,1/4-1/2 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),Menos de 5 minutos,Menos de 5 minutos,No,7th or 8th,,,,,,,,,,,Violencia o crimen,,,,,,,,,,,,Violencia o crimen,,
6971694474,175219499,1/2/19 20:31,1/2/19 20:33,173.164.210.33,,,,,3 and 4,Eastman and Olympic,2+ millas,Caminando,,11 to 20 minutos,,Yes,No me sentiria comodo/a en ningun grado,Distancia,,,,,,Ninos acompanados por adultos,Aceras o caminos,,,,,,,,,,,,,,,,,
6971694105,175219463,1/2/19 20:29,1/2/19 20:30,147.21.8.1,,,,,5,Floral and Eastern,1/2-1 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),Menos de 5 minutos,Menos de 5 minutos,No,No me sentiria comodo/a en ningun grado,,,,,,,,,,,Violencia o crimen,Clima,,,,,,,,,,,Violencia o crimen,Clima,
6971694007,175219463,1/2/19 20:28,1/2/19 20:29,147.21.8.1,,,,,5,Arizona and Cesar Chavez,1/4-1/2 milla,Vehiculo familiar (solo con ninos de la familia),Caminando,5 to 10 minutos,11 to 20 minutos,No,8th,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,,Violencia o crimen,Clima,,,,,Velocidad del trafico en la ruta,,,,Seguridad de las intersecciones y cruces,,Violencia o crimen,,
6971693876,175219463,1/2/19 20:27,1/2/19 20:28,147.21.8.1,,,,,5,Nogales Ave and Northam,2+ millas,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),Mas de 20 minutos,Mas de 20 minutos,No,No me sentiria comodo/a en ningun grado,Distancia,,,,,,,,,,,,Distancia,,,,,,,,,,,,
6971693681,175219463,1/2/19 20:26,1/2/19 20:26,147.21.8.1,,,,,5,,1-2 milla,Autobus escolar,Autobus escolar,Mas de 20 minutos,Mas de 20 minutos,No,No me sentiria comodo/a en ningun grado,,,,,,,,,,,,,,,,,,,,,,,,,
6971693610,175219463,1/2/19 20:24,1/2/19 20:25,147.21.8.1,,,,,5,3rd St and Ford Blvd,1/4-1/2 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,5 to 10 minutos,No,No me sentiria comodo/a en ningun grado,,,,,,,,,,,,,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,Aceras o caminos,Seguridad de las intersecciones y cruces,,Violencia o crimen,,
6971693485,175219463,1/2/19 20:20,1/2/19 20:24,147.21.8.1,,,,,5,Cesar Chavey and Dozier,1-2 milla,Caminando,Caminando,Menos de 5 minutos,Menos de 5 minutos,No,No me sentiria comodo/a en ningun grado,,,,,,,,,,,,,,,,,,,,,,,,,Mi sugerencia es que hicieran algo para que los carros no furan tan rapido y tuvieran mas cuidado cuando los ninos estan cruzando la calle. Muchas gracias.
6971692947,175219463,1/2/19 20:18,1/2/19 20:20,147.21.8.1,,,,,4,Ditman and Lan Franco,1/4-1/2 milla,Caminando,Caminando,11 to 20 minutos,11 to 20 minutos,No,No me sentiria comodo/a en ningun grado,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,Violencia o crimen,,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,Violencia o crimen,,"Poner mas vigilancia de policia, dar tickets, y tener ayuda para cruzar la calle de la Rowan y Lan Franco"
6971692668,175219463,1/2/19 20:16,1/2/19 20:17,147.21.8.1,,,,,,Rowan,,,,,,No,No me sentiria comodo/a en ningun grado,,,,,,,,,,,,,,,,,,,,,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,,,A promover a que las personas en carro paren en el stop por que a vece no dan paso al peaton y no les importa si el peaton va a cruzar. 
6971692418,175219463,1/2/19 20:14,1/2/19 20:15,147.21.8.1,,,,,T-K,6th and Eastman,Menos de 1/4 de milla,Caminando,Caminando,Menos de 5 minutos,Menos de 5 minutos,No,6,,,,,,,,,,,,,,,,,,,,,,,,,Poner topes; asi el conductor se ve obligado a reducir la velocidad.
6971692261,175219463,1/2/19 20:12,1/2/19 20:16,147.21.8.1,,,,,1,Rowan and 5th,1/4-1/2 milla,Caminando,Caminando,5 to 10 minutos,5 to 10 minutos,No,1 y T,,,,,Velocidad del trafico en la ruta,,Ninos acompanados por adultos,,,Guardias de cruce peatonal,,,,,,,,,,,,,,,Mas vigilancia de sheriff y en la manana y en la tarde.
6971692068,175219463,1/2/19 20:11,1/2/19 20:12,147.21.8.1,,,,,4,Indiana and Rowan,1/2-1 milla,Caminando,Caminando,11 to 20 minutos,11 to 20 minutos,No,No me sentiria comodo/a en ningun grado,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,,Violencia o crimen,,,,,,,,,,,,,,
6971691849,175219463,1/2/19 20:07,1/2/19 20:11,147.21.8.1,,,,,,Rowan,,,,,,No,No me sentiria comodo/a en ningun grado,,,,,,,,,,,,,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,Ninos acompanados por adultos,,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,,,"Poner mas vigilancia policial a la hora de entrada y salida de las escuela para que se respete el trafico (no doble parking, no estacionarse en rojo. "
6971691432,175219463,1/2/19 20:04,1/2/19 20:06,147.21.8.1,,,,,2,Rowan and Eagle,1/4-1/2 milla,Caminando,Caminando,11 to 20 minutos,11 to 20 minutos,No,No me sentiria comodo/a en ningun grado,Distancia,,,,,Cantidad de trafico en la ruta,,,,,,Clima,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,,,Clima,Need more security. I walk every day with my little girl who is 7 years old. 
6952129473,173300332,10/23/18 16:10,10/23/18 16:18,137.25.32.121,,,,,4,1st and Ditman,Menos de 1/4 de milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,5 to 10 minutos,,,,,,,,,,,,,,,,,,,,,,,,,,,
6952127584,173300332,10/23/18 16:08,10/23/18 16:10,137.25.32.121,,,,,5,Velazco St & 2nd St,1/4-1/2 milla,Vehiculo familiar (solo con ninos de la familia),Caminando,Menos de 5 minutos,11 to 20 minutos,No,7,,,,,,,,,,,,,Distancia,,,,,,Ninos acompanados por adultos,,,,Violencia o crimen,,
6931032414,173300332,8/21/18 14:50,8/21/18 14:51,142.129.227.79,,,,,4,,,Caminando,Caminando,5 to 10 minutos,5 to 10 minutos,Yes,No me sentiria comodo/a en ningun grado,,,,,,,Ninos acompanados por adultos,Aceras o caminos,,,,,,,,,,,Ninos acompanados por adultos,,,,,,La prescencia de policias mas frecuentemente para que los automovilistas respeten el paso de peatones y ciclistas en los cruces.
6931031678,173300332,8/21/18 14:47,8/21/18 14:49,142.129.227.79,,,,,4,Floral y Humphreys,1/2-1 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,5 to 10 minutos,No,8,,,,,,,,,,,,,,,,,Velocidad del trafico en la ruta,,,,,,,,Que hagan un caril para las baicas y caminar en la calles principales
6931030924,173300332,8/21/18 14:46,8/21/18 14:47,142.129.227.79,,,,,4,Cesar Chavez y Dangler,Menos de 1/4 de milla,Caminando,Caminando,5 to 10 minutos,5 to 10 minutos,No,7,,,,,Velocidad del trafico en la ruta,,,,,,,,,,,,Velocidad del trafico en la ruta,,,,,,,,
6931030595,173300332,8/21/18 14:45,8/21/18 14:46,142.129.227.79,,,,,4,Cesar Chavez y Floral,1/2-1 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,5 to 10 minutos,No,No me sentiria comodo/a en ningun grado,,,,,,,,,,,,,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,,Violencia o crimen,,
6931030058,173300332,8/21/18 14:43,8/21/18 14:44,142.129.227.79,,,,,4,Eastern y Flora,1/2-1 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,5 to 10 minutos,No,No me sentiria comodo/a en ningun grado,,,,,,,,,,,,,,,,,,,,,,,,,
6931029747,173300332,8/21/18 14:42,8/21/18 14:43,142.129.227.79,,,,,4,3rd St y McDonnell,1/2-1 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),Menos de 5 minutos,Menos de 5 minutos,No,8,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,Aceras o caminos,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,Violencia o crimen,Clima,,,,,,,,,,,,,
6931029370,173300332,8/21/18 14:41,8/21/18 14:42,142.129.227.79,,,,,4,Chavez y Mednick,Menos de 1/4 de milla,,Vehiculo familiar (solo con ninos de la familia),Menos de 5 minutos,,No,No me sentiria comodo/a en ningun grado,,,,,,,,,,,,,,,,,,,,,,,,,No
6931029034,173300332,8/21/18 14:39,8/21/18 14:41,142.129.227.79,,,,,4,Cesar Chavez Ave y N. Arizona Ave,Menos de 1/4 de milla,Caminando,Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,5 to 10 minutos,No,No me sentiria comodo/a en ningun grado,,,,,,,,,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,Violencia o crimen,Clima,,,,,,,,,,,,,
6931028391,173300332,8/21/18 14:35,8/21/18 14:39,142.129.227.79,,,,,4,Floral Dr. y Ford Blvd,Menos de 1/4 de milla,Caminando,Caminando,11 to 20 minutos,11 to 20 minutos,Yes,6,,,,,,,,,,,,,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,Aceras o caminos,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,Violencia o crimen,,"I might consider letting my child walk to/from school/home if there were crossing guards available on all streets. Also, if there were patrol cars watching over the children."
6931027237,173300332,8/21/18 14:33,8/21/18 14:35,142.129.227.79,,,,,4,,No se,Caminando,Caminando,11 to 20 minutos,11 to 20 minutos,Yes,No me sentiria comodo/a en ningun grado,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,Violencia o crimen,Clima,,,,,,,,,,,,,Que ayga mas seguridad cuando cruzan las cayes que asignaran donde puedan ir en bicicleta mas seguridad para nuestros hijos
6931026395,173300332,8/21/18 14:29,8/21/18 14:33,142.129.227.79,,,,,5,Cesar Chavez y Hammel,Menos de 1/4 de milla,Caminando,Caminando,5 to 10 minutos,5 to 10 minutos,No,5,,,,Actividades antes/despues de la escuela,,,,Aceras o caminos,Seguridad de las intersecciones y cruces,,,Clima,,,,,,,,,,,,,Poner mas vigilancia policial para que no haya exceso de velocidad y los ni–os esten mas seguros. Gracias
6825087968,173300332,4/13/18 10:05,4/13/18 10:06,74.62.204.86,,,,,6,Mariana Ave.y Hazard,1/2-1 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,5 to 10 minutos,No,No me sentiria comodo/a en ningun grado,,,,,,,,,,,,,,,,,,,,,,,,,
6825083629,173300332,4/13/18 10:01,4/13/18 10:04,74.62.204.86,,,,,3,Michigan y la primera ,1/4-1/2 milla,Caminando,Caminando,11 to 20 minutos,11 to 20 minutos,No,8,,,,,,,,Aceras o caminos,,,,,,,,,,,,Aceras o caminos,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,,,"Tener los senalamiento mas marcados para que a uno de automovilista los mire mejor, y uno como persona pueda cruzar mejor u con mas seguridad. "
6825075562,173300332,4/13/18 10:00,4/13/18 10:01,74.62.204.86,,,,,3,Eastern Ave y 1st,1/2-1 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,5 to 10 minutos,No,9,,,,,,,,,,,,,Distancia,,,,Velocidad del trafico en la ruta,,,Aceras o caminos,Seguridad de las intersecciones y cruces,,,Clima,
6825070748,173300332,4/13/18 9:58,4/13/18 10:00,74.62.204.86,,,,,3,1st y Easter ,1/4-1/2 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),Menos de 5 minutos,Menos de 5 minutos,No,No me sentiria comodo/a en ningun grado,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,,,Violencia o crimen,Clima,,,,,,,,,Seguridad de las intersecciones y cruces,,,,Mas seguridad er los peatones en las horas de escuela
6825065141,173300332,4/13/18 9:56,4/13/18 9:57,74.62.204.86,,,,,6,Sunol y Record ,1/4-1/2 milla,Vehiculo familiar (solo con ninos de la familia),Caminando,5 to 10 minutos,5 to 10 minutos,No,No me sentiria comodo/a en ningun grado,,,,,,,,,,,,,,,,,,,,,,,,,Me gustaria que hubiera mas vigilancia por policias en la hora de entrada y en la hora de la salida de las escuelas.
6825059381,173300332,4/13/18 9:52,4/13/18 9:55,74.62.204.86,,,,,6,3rd St. y Downey Rd.,Menos de 1/4 de milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),11 to 20 minutos,11 to 20 minutos,No,No me sentiria comodo/a en ningun grado,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,Aceras o caminos,Seguridad de las intersecciones y cruces,,,,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,Aceras o caminos,Seguridad de las intersecciones y cruces,,,,Los aceras de la interseccion de la calle 3rd  y Downey so moy pequenas y los carros se suben a la acera ademas en tren quen ai pasa tarda demasiado en pasar
6825048930,173300332,4/13/18 9:49,4/13/18 9:51,74.62.204.86,,,,,6,2nd y Gleason ,Menos de 1/4 de milla,Caminando,,,5 to 10 minutos,Yes,,,,,,Velocidad del trafico en la ruta,,,,Seguridad de las intersecciones y cruces,,Violencia o crimen,Clima,,,,,,,,,,,,,Que se respete estrictamente la velocidad en zonas escolares
6825043299,173300332,4/13/18 9:47,4/13/18 9:49,74.62.204.86,,,,,6,Sunol Dr. y 1st St.,1-2 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,11 to 20 minutos,No,6,,,,,,,,Aceras o caminos,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,Violencia o crimen,,,,,,,,,,,,,,Que haya man seguridad en cada cruce porque hay mucho joven y ninos que los usan para ir a las escuelas.
6825038255,173300332,4/13/18 9:46,4/13/18 9:47,74.62.204.86,,,,,6,,Menos de 1/4 de milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),Menos de 5 minutos,,Yes,6,,,,,,,Ninos acompanados por adultos,,,,,,,,,,,,Ninos acompanados por adultos,,,,,,
6825035507,173300332,4/13/18 9:43,4/13/18 9:46,74.62.204.86,,,,,6,Marianna y 1st,1/4-1/2 milla,Caminando,Caminando,5 to 10 minutos,5 to 10 minutos,Yes,No me sentiria comodo/a en ningun grado,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,,Clima,,,,,,,,,,,,,Pues yo creo que lo mejor para esta situacion es de que aiga un semaforo y que aunque hay personal de trafico verdaderamente hay carros que no quieren parar para que podemos cruzar
6825027060,173300332,4/13/18 9:41,4/13/18 9:43,74.62.204.86,,,,,4,Marianna y Eugene,Menos de 1/4 de milla,Vehiculo familiar (solo con ninos de la familia),Caminando,Menos de 5 minutos,5 to 10 minutos,No,8,,,,,,Cantidad de trafico en la ruta,,,,,,,,,,,,,,,Seguridad de las intersecciones y cruces,,,,Poner mas personas en las intercciones.
